s,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
12466,我还记得第一次见到你心是怎样被动的,2025-05-24,118917,506,9,5,199,流行 夜晚 伤感
12467,伤感说唱rap | 别抽烟了对肺不好,2022-10-22,26850398,18696,478,106,95,华语 说唱 伤感
12468,情绪说唱｜小众旋律狠货,2023-08-28,706500,2299,46,25,336,孤独 伤感 治愈
12469,你只看见我的绝情 没看到我泛红的双眼.,2025-07-30,169910,1426,11,2,97,伤感 怀旧 nan
12470,别让瞬间的相遇成为永恒的羁绊。,2025-04-29,119474,455,10,4,195,流行 伤感 夜晚
12471,8090后回忆杀 经典怀旧粤语老歌,2024-12-31,41305,134,1,1,157,粤语 怀旧 伤感
12472,后朋克/PostPunk/俄罗斯/东欧/Doomer/摇滚,2022-07-24,597688,13731,133,63,144,夜晚 伤感 朋克
12473,黑胶唱片｜她说难过的眼睛像柏林的一场雾,2018-04-05,68143,160,8,2,121,伤感 华语 流行
12474,但愿不后悔认识我，也是真的快乐过,2017-01-03,18115302,130000,1651,672,202,华语 伤感 流行
12475,深夜Emo歌单｜Be美学 超强破碎感,2024-09-27,80865,807,17,4,93,夜晚 孤独 伤感
12476,我不明白 为什么我们忽然就不合适了.,2020-11-13,329740,524,9,9,183,安静 治愈 伤感
12477,缘份本就稀薄寡淡 多是清尘浊水后会无期.,2025-07-30,74640,696,3,10,19,伤感 思念 孤独
12478,“把痛苦抽进肺里 伴随着我的一生”,2025-07-30,77890,2053,8,5,95,伤感 孤独 思念
12479,那些无法重现的时光我比谁都怀念,2025-07-11,389431,2130,16,14,96,伤感 流行 思念
12480,|适合写小说时听的纯音乐|,2023-01-18,17033,299,4,2,125,轻音乐 学习 伤感
12481,emo天花板系列【伤感】【失恋】【睡觉听】,2025-07-30,254268,3457,5,6,112,华语 流行 伤感
12482,痛过了心扉 不再沉溺于回忆,2025-07-11,149093,620,1,12,201,流行 00后 伤感
12483,你最擅长说没事 即使眼泪已经到了眼角,2025-05-22,27332,425,2,5,161,夜晚 伤感 说唱
12484,华语伤感 | 情歌里的一字一句,2023-10-18,245833,319,3,18,40,伤感 流行 nan
12485,当新鲜感褪去 我依然爱着你,2025-06-02,102978,358,7,9,183,思念 安静 伤感
12486,小众伤感歌单｜你爱的人教会了你什么,2024-11-16,26370,361,8,4,35,伤感 nan nan
12487,你的泪痕像条青色的锈,2019-02-24,170224,1203,41,12,149,华语 流行 伤感
12488,只需你一份诚意 与不离的守候。,2025-06-19,398586,2061,15,26,21,流行 伤感 nan
